N,TIME
2,0.018000
4,0.004000
8,0.004000
16,0.005000
32,0.006000
64,0.007000
128,0.010000
256,0.017000
512,0.029000
1024,0.052000
2048,0.098000
4096,0.182000
8192,0.360000
16384,0.711000
32768,1.419000
65536,2.865000
131072,4.264000
262144,7.988000
524288,16.145000
1048576,31.172000
2097152,62.480000
4194304,123.140000
8388608,246.544000
16777216,493.711000
