N,TIME
2,0.022000
4,0.004000
8,0.003000
16,0.004000
32,0.010000
64,0.010000
128,0.020000
256,0.039000
512,0.103000
1024,0.214000
2048,0.470000
4096,0.717000
8192,1.489000
16384,3.132000
32768,6.748000
65536,14.355000
131072,34.810000
262144,63.775000
524288,153.256000
1048576,330.599000
2097152,591.074000
4194304,1265.877000
8388608,2631.878000
16777216,5290.470000
33554432,10976.214000
67108864,22034.057000
134217728,49661.748000
