N,TIME
2,0.302000
4,0.035000
8,0.037000
16,0.036000
32,0.036000
64,0.039000
128,0.042000
256,0.052000
512,0.075000
1024,0.096000
2048,0.138000
4096,0.231000
8192,1.057000
16384,1.495000
32768,2.719000
65536,4.039000
131072,7.439000
262144,15.404000
524288,27.527000
1048576,53.988000
2097152,110.330000
4194304,228.060000
8388608,467.385000
16777216,935.251000
33554432,1979.732000
67108864,3900.052000
134217728,7823.455000
268435456,15850.591000
536870912,34170.502000
