N,TIME
2,0.023000
4,0.005000
8,0.004000
16,0.005000
32,0.008000
64,0.012000
128,0.025000
256,0.042000
512,0.088000
1024,0.194000
2048,0.421000
4096,0.878000
8192,1.811000
16384,3.716000
32768,5.252000
65536,8.459000
131072,11.196000
262144,17.858000
524288,35.959000
1048576,73.455000
2097152,148.582000
4194304,302.831000
8388608,615.611000
16777216,1252.741000
33554432,2549.118000
67108864,5178.394000
134217728,10529.147000
268435456,21392.694000
536870912,43468.269000
1073741824,88291.346000
