N,TIME
2,0.101000
4,0.027000
8,0.022000
16,0.023000
32,0.033000
64,0.042000
128,0.041000
256,0.058000
512,0.091000
1024,0.178000
2048,0.266000
4096,0.485000
8192,0.920000
16384,2.139000
32768,4.041000
65536,7.121000
131072,16.464000
262144,26.399000
524288,46.271000
1048576,90.326000
2097152,165.118000
4194304,330.238000
8388608,663.587000
16777216,1323.415000
33554432,2682.438000
67108864,5620.475000
134217728,12929.489000
